nr;date;confirmed;deaths;tests
1;05.03.2020;0;0;92
2;06.03.2020;2;0;179
3;07.03.2020;3;0;132
4;08.03.2020;5;0;167
5;09.03.2020;6;0;230
6;10.03.2020;5;0;246
7;11.03.2020;9;0;394
8;12.03.2020;20;1;210
9;13.03.2020;17;1;655
10;14.03.2020;36;1;1525
11;15.03.2020;21;0;1079
12;16.03.2020;52;1;1206
13;17.03.2020;61;1;1200
14;18.03.2020;49;0;1616
15;19.03.2020;68;0;1681
16;20.03.2020;70;0;1876
17;21.03.2020;111;0;2012
18;22.03.2020;98;2;2523
19;23.03.2020;115;1;2520
20;24.03.2020;152;2;2771
21;25.03.2020;150;4;3346
22;26.03.2020;170;2;3320
23;27.03.2020;168;0;4503
24;28.03.2020;249;2;4607
25;29.03.2020;224;4;4109
26;30.03.2020;193;9;3824
27;31.03.2020;256;2;4812
28;01.04.2020;243;10;4382
29;02.04.2020;392;14;5377
30;03.04.2020;437;14;5760
31;04.04.2020;244;8;5963
32;05.04.2020;475;15;7856
33;06.04.2020;311;13;4710
34;07.04.2020;435;22;6748
35;08.04.2020;357;30;7069
36;09.04.2020;370;15;8313
37;10.04.2020;380;7;10698
38;11.04.2020;401;27;11265
39;12.04.2020;318;24;8447
40;13.04.2020;260;13;5623
41;14.04.2020;268;18;4691
42;15.04.2020;380;23;8172
43;16.04.2020;336;28;12578
44;17.04.2020;461;18;10583
45;18.04.2020;363;15;13306
46;19.04.2020;545;13;11286
47;20.04.2020;306;20;9990
48;21.04.2020;263;21;10119
49;22.04.2020;313;25;14444
50;23.04.2020;342;28;11920
51;24.04.2020;381;40;14482
52;25.04.2020;381;30;13793
53;26.04.2020;344;11;11639
54;27.04.2020;285;27;7226
55;28.04.2020;316;34;12885
56;29.04.2020;422;28;13783
57;30.04.2020;237;20;13500
58;01.05.2020;228;6;16601
59;02.05.2020;270;14;11385
60;03.05.2020;318;14;9935
61;04.05.2020;313;20;7856
62;05.05.2020;425;18;10466
63;06.05.2020;309;17;16198
64;07.05.2020;307;22;15526
65;08.05.2020;319;21;17512
66;09.05.2020;285;9;17180
67;10.05.2020;345;15;16218
68;11.05.2020;330;11;14312
69;12.05.2020;595;28;16562
70;13.05.2020;283;22;20344
71;14.05.2020;411;22;26235
72;15.05.2020;401;24;21919
73;16.05.2020;241;8;25118
74;17.05.2020;272;10;18855
75;18.05.2020;356;11;15797
76;19.05.2020;383;12;17178
77;20.05.2020;471;14;21637
78;21.05.2020;404;10;22639
79;22.05.2020;476;10;22341
80;23.05.2020;312;11;31368
81;24.05.2020;395;3;16502
82;25.05.2020;305;11;12135
83;26.05.2020;443;17;22177
84;27.05.2020;399;4;23021
85;28.05.2020;352;10;21958
86;29.05.2020;330;13;26724
87;30.05.2020;416;10;25613
88;31.05.2020;215;3;16477
89;01.06.2020;379;10;15974
90;02.06.2020;230;18;14435
91;03.06.2020;292;23;21222
92;04.06.2020;361;2;29427
93;05.06.2020;362;20;18333
94;06.06.2020;576;16;23344
95;07.06.2020;575;4;18115
96;08.06.2020;599;9;14404
97;09.06.2020;400;17;17053
98;10.06.2020;282;23;22056
99;11.06.2020;359;0;19130
100;12.06.2020;376;16;21944
101;13.06.2020;440;15;18105
102;14.06.2020;375;10;19654
103;15.06.2020;396;9;13282
104;16.06.2020;407;16;19109
105;17.06.2020;506;14;25966
106;18.06.2020;314;30;23852
107;19.06.2020;301;18;26725
108;20.06.2020;304;12;22723
109;21.06.2020;311;10;21443
110;22.06.2020;296;3;14193
111;23.06.2020;300;16;21171
112;24.06.2020;294;21;22441
113;25.06.2020;298;16;25196
114;26.06.2020;276;17;22287
115;27.06.2020;319;6;22832
116;28.06.2020;193;3;24031
117;29.06.2020;247;6;5547
118;30.06.2020;239;19;21956
119;01.07.2020;382;14;25014
120;02.07.2020;371;15;23183
121;03.07.2020;259;15;27804
122;04.07.2020;314;5;22663
123;05.07.2020;231;5;19210
124;06.07.2020;205;4;16294
125;07.07.2020;257;7;20700
126;08.07.2020;277;14;20208
127;09.07.2020;262;9;23856
128;10.07.2020;265;11;24203
129;11.07.2020;305;6;35012
130;12.07.2020;370;3;17969
131;13.07.2020;299;5;15753
132;14.07.2020;267;12;21904
133;15.07.2020;264;6;25323
134;16.07.2020;333;11;25497
135;17.07.2020;353;7;26254
136;18.07.2020;339;6;24546
137;19.07.2020;358;6;19383
138;20.07.2020;279;3;15464
139;21.07.2020;399;9;20266
140;22.07.2020;380;6;25511
141;23.07.2020;418;9;27190
142;24.07.2020;458;4;24280
143;25.07.2020;584;9;26239
144;26.07.2020;443;7;20239
145;27.07.2020;337;5;18873
146;28.07.2020;502;6;22691
147;29.07.2020;512;12;29952
148;30.07.2020;615;15;23064
149;31.07.2020;657;7;35127
150;01.08.2020;658;5;28385
151;02.08.2020;548;10;23874
152;03.08.2020;575;1;17783
153;04.08.2020;680;6;25829
154;05.08.2020;640;18;33647
155;06.08.2020;726;18;28650
156;07.08.2020;809;13;32676
157;08.08.2020;843;13;
158;09.08.2020;624;7;20374
159;10.08.2020;619;2;14924
160;11.08.2020;551;12;23142
161;12.08.2020;715;9;24079
162;13.08.2020;811;14;26131
163;14.08.2020;825;14;26726
164;15.08.2020;778;11;24632
165;16.08.2020;594;8;16613
166;17.08.2020;595;8;13158
167;18.08.2020;597;11;20530
168;19.08.2020;735;17;28741
169;20.08.2020;767;12;25599
170;21.08.2020;903;13;29689
171;22.08.2020;900;13;25704
172;23.08.2020;581;4;19634
173;24.08.2020;548;5;16754
174;25.08.2020;763;17;22211
175;26.08.2020;729;17;28894
176;27.08.2020;887;16;28283
177;28.08.2020;791;8;25762
178;29.08.2020;759;14;21871
179;30.08.2020;631;1;19017
180;31.08.2020;502;6;12474
181;01.09.2020;550;19;29407
182;02.09.2020;595;20;34167
183;03.09.2020;612;14;15684
184;04.09.2020;691;8;22493
185;05.09.2020;567;13;25566
186;06.09.2020;437;7;18619
187;07.09.2020;302;4;10303
188;08.09.2020;400;12;18818
189;09.09.2020;421;11;23327
190;10.09.2020;506;12;18680
191;11.09.2020;594;10;18643
192;12.09.2020;603;13;21154
193;13.09.2020;502;6;14502
194;14.09.2020;377;15;12631
195;15.09.2020;605;24;18719
196;16.09.2020;600;10;21912
197;17.09.2020;837;16;22192
198;18.09.2020;757;17;21023
199;19.09.2020;1002;12;20040
200;20.09.2020;910;11;18988
201;21.09.2020;748;5;12224
202;22.09.2020;711;18;22599
203;23.09.2020;974;28;22058
204;24.09.2020;1136;25;23725
205;25.09.2020;1587;23;24232
206;26.09.2020;1584;32;23290
207;27.09.2020;1350;8;18821
208;28.09.2020;1306;15;13467
209;29.09.2020;1326;36;23119
210;30.09.2020;1552;30;28021
211;01.10.2020;1967;30;29615
212;02.10.2020;2292;27;28724
213;03.10.2020;2367;34;30515
214;04.10.2020;1934;26;25976
215;05.10.2020;2006;29;18324
216;06.10.2020;2236;58;24036
217;07.10.2020;3003;75;44056
218;08.10.2020;4280;75;44113
219;09.10.2020;4739;52;30812
220;10.10.2020;5300;53;28228
221;11.10.2020;4178;32;31180
222;12.10.2020;4394;35;25078
223;13.10.2020;5068;62;33851
224;14.10.2020;6526;116;43852
225;15.10.2020;8099;91;64518
226;16.10.2020;7705;132;50825
227;17.10.2020;9622;84;48989
228;18.10.2020;8536;49;37289
229;19.10.2020;7482;41;36039
230;20.10.2020;9291;107;41578
231;21.10.2020;10040;130;59341
232;22.10.2020;12107;168;50200
233;23.10.2020;13632;153;62121
234;24.10.2020;13628;179;55352
235;25.10.2020;11742;87;53539
236;26.10.2020;10241;45;50407
237;27.10.2020;16300;132;66062
238;28.10.2020;18820;236;60607
239;29.10.2020;20156;298;67892
240;30.10.2020;21629;202;78041
241;31.10.2020;21897;280;59792
242;01.11.2020;17171;152;49974
243;02.11.2020;15578;92;65012
244;03.11.2020;19364;227;65792
245;04.11.2020;24692;373;69080
246;05.11.2020;27143;367;67120
247;06.11.2020;27086;445;82955
248;07.11.2020;27875;349;66814
249;08.11.2020;24785;236;61055
250;09.11.2020;21713;173;43456
251;10.11.2020;25454;330;54701
252;11.11.2020;25221;430;53274
253;12.11.2020;22683;275;57249
254;13.11.2020;24051;419;57552
